Latitude,Longitude,Year,Theatre
26.8931931,76.3375284,1859,Land
28.7040592,77.1024902,1297,Land
28.7040592,77.1024902,1398,Land
28.7040592,77.1024902,1556,Land
28.7040592,77.1024902,1737,Land
28.7040592,77.1024902,1757,Land
28.7040592,77.1024902,1803,Land
28.7040592,77.1024902,1804,Land
28.7040592,77.1024902,1857,Land
19.8630824,75.319686,1294,Land
19.8630824,75.319686,1307,Land
19.8630824,75.319686,1318,Land
26.1758977,74.4019021,1659,Land
11.3500793,79.8312893,1749,Land
26.866667,91.466667,1865,Land
22.6012922,75.3024655,1857,Land
22.9979725,75.641175,1658,Land
30.9397575,75.2224874,1846,Land
21.7839591,75.07441,1768,Land
26.9170762,77.2922173,1804,Land
26.9170762,77.2922173,1804,Land
20.2059639,73.8203572,1670,Land
20.7144094,70.9873719,1509,Sea
20.7144094,70.9873719,1538,Land and Sea
20.7144094,70.9873719,1546,Land and Sea
18.9658353,73.2048163,1780,Land
26.1660176,80.6516417,1858,Land
20.2233407,86.2894882,1781,Land
27.3826126,79.5940544,1750,Land
27.3826126,79.5940544,1751,Land
27.3826126,79.5940544,1804,Land
27.3672904,79.6221368,1858,Land
25.8499808,80.8986502,1799,Land
25.8499808,80.8986502,1857,Land
30.8776206,74.7892951,1845,Land
11.7386641,79.7778741,1746,Land and Sea
11.7386641,79.7778741,1758,Land and Sea
7.2831401,80.5910567,1638,Land
23.7795115,79.1435963,1858,Land
23.714193,90.0081607,1971,Land
21.3826738,77.3357248,1803,Land
20.9291823,82.8506002,1801,Land
20.9291823,82.8506002,1801,Land
28.78102,77.4040163,1857,Land
24.6046672,87.8859712,1740,Land
24.6046672,87.8859712,1763,Land
16.5611757,73.3329709,1756,Land
35.881911,74.4642861,747,Land
12.2524408,79.4113072,1648,Land
12.2524408,79.4113072,1689,Land
12.2524408,79.4113072,1750,Land
12.2524408,79.4113072,1752,Land
27.3190373,88.8192852,1888,Land
15.4925631,73.7031183,1510,Land
15.4925631,73.7031183,1570,Land
15.4925631,73.7031183,1604,Sea
18.5132486,77.7142657,1326,Land
23.459156,86.9530213,1529,Land
31.5190867,74.899685,1757,Land
17.383309,78.4010528,1687,Land
29.4438165,75.6702647,1858,Land
24.0733729,75.0461468,1857,Land
22.258652,71.1923805,1178,Land
32.1876919,74.1944529,1761,Land
32.574935,74.019565,1797,Land
32.574935,74.019565,1849,Land
31.9530168,75.9809652,1696,Land
31.9994079,75.3404703,1715,Land
13.7793731,78.5873759,1791,Land
26.2182871,78.1828308,1780,Land
26.2182871,78.1828308,1858,Land
33.9666837,74.0745785,1965,Land
25.6858392,85.2145907,1760,Land
24.9188016,73.7184005,1576,Land
29.0971845,75.9637413,1037,Land
29.0971845,75.9637413,1801,Land
6.8978344,80.0814292,1803,Land
26.793687,82.4627244,1858,Land
28.7237807,78.2846303,1720,Land
25.281004,89.007933,1971,Land
22.896256,88.2461183,1632,Land
