Longitude,Latitude,centasian,china
75.5762,31.326,0,1
71.866,30.609,0,1
77.2309,28.6546,0,1
78.4673,28.9044,0,1
72.34,31.521,1,0
77.7097,28.78,1,0
72.434,34.017,1,0
72.9069,32.4811,1,0
71.5616,34.035,1,0
76.924,29.7996,1,0
76.8198,29.9696,1,0
78.3958,27.1591,1,0
72.1266,23.8493,1,0
77.941,26.9432,1,0
76.9635,29.3909,1,0
71.258,34.034,1,0
76.3811,30.616,1,0
76.2691,30.7602,1,0
74.8994,31.5197,1,0
76.9905,29.6857,1,0
77.185,28.52,1,0
